"id","my_label"
1,"+fridge"
2,"+fridge+washing_machine+washer_dryer+microwave"
3,"+fridge"
4,"+fridge+kettle"
5,"+fridge+washer_dryer"
6,"+fridge+tumble_dryer+washer_dryer"
7,"+fridge+tumble_dryer+washer_dryer"
8,"+fridge"
9,"+fridge"
10,"+fridge+kettle"
11,"+fridge+washing_machine+washer_dryer+microwave"
12,"+fridge"
13,"+fridge+microwave"
14,"+fridge+microwave"
15,"+fridge+washing_machine+washer_dryer"
16,"+fridge"
17,"+fridge+washing_machine+washer_dryer"
18,"+fridge"
19,"+fridge+tumble_dryer+washer_dryer"
20,"+fridge+tumble_dryer+washer_dryer"
21,"+fridge"
22,"+fridge"
23,"+fridge"
24,"+fridge+tumble_dryer+washer_dryer"
25,"+fridge"
26,"+fridge"
27,"+fridge"
28,"+fridge+tumble_dryer+washer_dryer"
29,"+fridge+washing_machine+washer_dryer"
30,"+fridge+washing_machine+washer_dryer"
31,"+fridge"
32,"+fridge"
33,"+fridge+tumble_dryer+washer_dryer"
34,"+fridge"
35,"+fridge+washing_machine+washer_dryer+microwave"
36,"+fridge"
37,"+fridge"
38,"+fridge+washing_machine+washer_dryer"
39,"+fridge+washing_machine+washer_dryer"
40,"+fridge+tumble_dryer+washer_dryer"
41,"+fridge+washing_machine+washer_dryer"
42,"+fridge"
43,"+fridge"
44,"+fridge+microwave"
45,"+fridge+washing_machine+washer_dryer"
46,"+fridge+washing_machine+washer_dryer"
47,"+fridge"
48,"+fridge+tumble_dryer+washer_dryer"
49,"+fridge+tumble_dryer+washer_dryer"
50,"+fridge"
51,"+fridge+tumble_dryer+washer_dryer"
52,"+fridge+washing_machine+washer_dryer"
53,"+fridge+washing_machine+washer_dryer"
54,"+fridge"
55,"+fridge"
56,"+fridge"
57,"+fridge"
58,"+fridge"
59,"+fridge"
60,"+fridge+tumble_dryer+washer_dryer"
61,"+fridge"
62,"+fridge+tumble_dryer+washer_dryer"
63,"+fridge"
64,"+fridge"
65,"+fridge+washing_machine+washer_dryer"
66,"+fridge+washing_machine+washer_dryer"
67,"+fridge"
68,"+fridge"
69,"+fridge+washing_machine+washer_dryer"
70,"+fridge+washing_machine+washer_dryer"
71,"+fridge+washing_machine+washer_dryer"
72,"+fridge"
73,"+fridge+washing_machine+washer_dryer"
74,"+fridge"
75,"+fridge"
76,"+fridge+shower"
77,"+fridge"
78,"+fridge+washing_machine+washer_dryer+microwave"
79,"+fridge+washing_machine+washer_dryer"
